name,construct,severity,info
Assertions,assert,Low,Assertions are for debugging and development. Assertions can be disabled during runtime. Use in production can introduce vulnerabilities.
Binding All Interfaces,s.bind,Medium,Network sockets require additional measurements.
Check for chmod,os.chmod,High,Operating System calls can have a  security impact and should be inspected in detail.
Directory Creation,os.makedirs,Low,Operating System calls can have a  security impact and should be inspected in detail.
Directory Creation,os.mkdir,Low,Operating System calls can have a  security impact and should be inspected in detail.
Directory Creation,os.mkfifo,Low,Operating System calls can have a  security impact and should be inspected in detail.
Directory Creation,os.mknod,Low,Operating System calls can have a  security impact and should be inspected in detail.
Directory Creation,os.makedev,Low,Operating System calls can have a  security impact and should be inspected in detail.
OS System call - Fork a child process,os.fork,Low,"On macOS use of this function is unsafe when mixed with using higher-level system APIs, and that includes using urllib.request."
Dangerous Built-in: eval,eval,High,This function can execute arbitrary code. Never safe with untrusted input.
Input Function,input,Low,User input must be strictly sanitized and validated to prevent injection vulnerabilities.
Overly Broad Exception Handling,pass,Low,Using `pass` in an `except` block can silently ignore critical security exceptions.
Overly Broad Exception Handling,continue,Low,Skipping over exceptions can mask critical errors and security risks.
Dangerous Built-in: exec,exec,High,This function can execute arbitrary code and should be used only with validated constructs.
Dangerous Built-in: compile,compile,High,This function can be used to execute arbitrary code or crash the Python interpreter.
Dynamic Imports,__import__,Medium,"Importing modules dynamically can load untrusted code."
Dynamic Imports,importlib.import_module,Medium,"Importing modules dynamically can load untrusted code."
Hash Check - md5,hashlib.md5,High,Use of insecure hashing algorithms detected.
Hash Check -sha1,hashlib.sha1,High,Use of insecure hashing algorithms detected.
Logging Configuration,logging.config,Medium,Parsing untrusted logging configurations can lead to vulnerabilities if not handled correctly.
Pickle use,pickle.loads,High,unpickling will import any class or function that it finds in the pickle data
Pickle use,pickle.load,High,unpickling will import any class or function that it finds in the pickle data
OS  - direct calls,os.system,High,Operating System calls can have a  security impact and should be inspected in detail.
OS  - execl,os.execl,High,Operating System calls can have a  security impact and should be inspected in detail.
OS  - execle,os.execle,High,Operating System calls can have a  security impact and should be inspected in detail.
OS  - execlp,os.execlp,High,Operating System calls can have a  security impact and should be inspected in detail.
OS  - execlpe,os.execlpe,High,Operating System calls can have a  security impact and should be inspected in detail.
OS  - execv,os.execv,High,Operating System calls can have a  security impact and should be inspected in detail.
OS  - execve,os.execve,High,Operating System calls can have a  security impact and should be inspected in detail.
OS  - execvp,os.execvp,High,Operating System calls can have a  security impact and should be inspected in detail.
OS  - execvpe,os.execvpe,High,Operating System calls can have a  security impact and should be inspected in detail.
OS  - popen,os.popen,High,Operating System calls can have a  security impact and should be inspected in detail.
Sys calls,sys.call_tracing,Medium,Sys functions that can give ow-level access to the interpreter's execution flow.
Sys calls,sys.setprofile,Medium,Sys functions that can give ow-level access to the interpreter's execution flow.
Sys calls,sys.settrace,Medium,Sys functions that can give ow-level access to the interpreter's execution flow.
OS Access,os.access,High,Operating System calls can have a  security impact and should be inspected in detail.
OS Interfaces,os.write,Low,os.write can cause availability issues if not done correct.
OS Interfaces,os.writev,Low,os.writev can cause availability issues if not done correct.
OS Interfaces,os.forkpty,Low,Use of forkpty can be unsafe when used on MacOS.
OS Interface,os.read,Low,"When files can be read from , they can be transfered to some place you do not want."
tempfile ,tempfile.mktemp,Low,This function may introduce race conditions which could negatively impact security.
Marshal,marshal.loads,High,The marshal module is not intended to be secure against erroneous or maliciously constructed data. 
Marshal,marshal.load,High,The marshal module is not intended to be secure against erroneous or maliciously constructed data. 
Subprocesses - call,subprocess.call,High,Use of the subprocess module calls should be analyzed in-depth.
Subprocesses - check_call,subprocess.check_call,High,Use of the subprocess module calls should be analyzed in-depth.
Subprocesses - Popen,subprocess.Popen,Medium,Use of the subprocess module calls should be analyzed in-depth.
Subprocesses - run,subprocess.run,Medium,Use of the subprocess module calls should be analyzed in-depth.
Tarfile,tarfile.TarFile,High,Extracting files within a program should never be trusted by default. This issue is detected when the zipfile and/or tarfile module with an extraction method is used.
Base64 Encoding ,base64,Low,"Base64 encoding is not for security. It only visually hides data and provides no confidentiality. Often use to obfuscate malware in code."
XML - client,xmlrpc.client,High,xmlrpc.client call is vulnerable to the “decompression bomb” attack.
XML - server,xmlrpc.server.SimpleXMLRPCServer,High,xmlrpc.server call is vulnerable to the “decompression bomb” attack.
Cryptographically Unsafe Randomness,random.random,Low,The pseudo-random generators in this module are not suitable for security purposes. 
Cryptographically Unsafe Randomness,random.seed,Low,The pseudo-random generators in this module are not suitable for security purposes. 
Shelve module,shelve.open,High,Only loading a shelve from a trusted source is secure. So check if this is the case.
Unsafe Deserialization: multiprocessing,connection.recv,High,"Uses pickle, which can execute arbitrary code when receiving data. "
Unsafe Deserialization: multiprocessing,multiprocessing.connection.Connection,High,Relies on pickle; dangerous with untrusted data. 
Zipfile,zipfile.ZipFile,High,Extracting files within a program should never be trusted by default. This issue is detected when the zipfile and/or tarfile module with an extraction method is used.
Gzip,gzip.open,Medium,Potential resource consumption if the file is untrusted.
bz2 use,bz2.open,Medium,Potential resource consumption if bz2 compressed file is untrusted.
bz2 class use,bz2.BZ2File,Medium,Potential risk with bz2 class when decompressing data from untrusted or unknown source. 
lzma use,lzma.open,Medium,Potential risk with lzma when decompressing data from untrusted or unknown source. 
lzma class use,lzma.LZMAFile,Medium,Potential risk with lzma class when decompressing data from untrusted or unknown source. 
shutil,shutil.unpack_archive,Medium,Extracting files within a program should not be trusted by default.
shutil,shutil.copy,Medium,Information can be transfered without permission.
shutil,shutil.copy2,Medium,Information can be transfered without permission.
shutil,shutil.copytree,Medium,Information can be transfered without permission.
shutil,shutil.chown,Medium,Programs should not change access rights on files they do not own.
shutil,shutil.rmtree,Medium,Risk on path traversal attack.
